condition,severity,seed,probe,network,target_response_coverage,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,evoked_fc_split_abs_z
Baseline,0.0,23,5Hz,episodic_expanded,1.0,8.706001652259691e-05,False,-2.3724629865373717e-05,0.0007562648339974361,31.90553149129017,0.9999994334561216,1.0,0.00019525772626849403
Baseline,0.0,23,5Hz,semantic_expanded,1.0,0.00032231852809420464,False,-8.34287564218883e-05,0.00038696756575969083,31.911301097421592,0.9999987865862516,1.0,0.00013906268239405328
Baseline,0.0,37,5Hz,episodic_expanded,1.0,8.785638846791977e-05,False,-2.3985976257989706e-05,0.0007562648339969747,31.905528847063124,0.9999994336798387,1.0,0.0001920428014194897
Baseline,0.0,37,5Hz,semantic_expanded,1.0,0.00032344669097126574,False,-8.376316566378607e-05,0.00038696756576479536,31.911543904593206,0.9999987858301336,1.0,0.0001415842871490547
Baseline,0.0,53,5Hz,episodic_expanded,1.0,8.869792076205085e-05,False,-2.431137042009368e-05,0.0007562648339968752,31.905360201215384,0.9999994254538842,1.0,0.00019151018557383992
Baseline,0.0,53,5Hz,semantic_expanded,1.0,0.00032676073780839294,False,-8.470522541008663e-05,0.00038696756575925704,31.911408958074922,0.9999987720668964,1.0,0.00015041304137763944
Baseline,0.0,71,5Hz,episodic_expanded,1.0,8.895783001291335e-05,False,-2.4287305254944158e-05,0.0007562648339973703,31.905461157692983,0.9999994282108218,1.0,0.0001921163068530074
Baseline,0.0,71,5Hz,semantic_expanded,1.0,0.0003266610589772083,False,-8.461018820176136e-05,0.00038696756576294045,31.911546451003577,0.9999987682931807,1.0,0.00014364218238838156
Baseline,0.0,89,5Hz,episodic_expanded,1.0,8.874798470994936e-05,False,-2.4261207465503534e-05,0.000756264833997688,31.905323219592884,0.9999994290891243,1.0,0.0001911490246986336
Baseline,0.0,89,5Hz,semantic_expanded,1.0,0.0003263018579878239,False,-8.452560070955074e-05,0.00038696756576347524,31.911465231012606,0.999998770036443,1.0,0.00014946170987784058
Baseline,0.0,107,5Hz,episodic_expanded,1.0,8.997371616512284e-05,False,-2.4602639198079147e-05,0.0007562648339965958,31.905455440374986,0.9999994228300152,1.0,0.00018971981180415654
Baseline,0.0,107,5Hz,semantic_expanded,1.0,0.00032883857345984897,False,-8.517343306841952e-05,0.0003869675657583023,31.91177093251882,0.9999987646293929,1.0,0.00015676767494077204
Baseline,0.0,127,5Hz,episodic_expanded,1.0,8.812952487442873e-05,False,-2.414236314560725e-05,0.0007562648339970989,31.90533581366506,0.9999994322541811,1.0,0.00019085755113823488
