region_index,region_label,hemisphere,surrogate_amyloid,baseline_b,intermediate_b,high_b,b_reduction,weighted_structural_strength,structural_feature_basis,direct_connectivity_to_left_a1,direct_connectivity_to_right_a1,bilateral_a1_affinity,semantic_expanded_membership,episodic_expanded_membership,semantic_anatomical_core_membership,episodic_anatomical_core_membership,anatomical_core_membership,semantic_platel_peak_membership,episodic_platel_peak_membership,platel_peak_membership,raw_trace_region_membership
37,L_23c,L,1.48936980873121,0.07,0.0691405223576973,0.06828104471539458,0.0017189552846054307,0.518798508866956,symmetrized_0.5_times_W_plus_W_transpose,0.001432732895892205,0.0019633234143775448,0.0033960563102697497,False,False,False,False,False,False,False,False,False
38,L_5L,L,1.86047043169871,0.07,0.06339625996990099,0.05679251993980197,0.013207480060198035,0.4087154818165799,symmetrized_0.5_times_W_plus_W_transpose,0.00176835583188524,0.0006488355432133425,0.0024171913750985824,False,False,False,False,False,False,False,False,False
39,L_24dd,L,1.80573950104528,0.07,0.06491555796068357,0.05983111592136714,0.010168884078632867,0.4691385863168601,symmetrized_0.5_times_W_plus_W_transpose,0.0008772535341728375,0.00031803271737259047,0.001195286251545428,False,False,False,False,False,False,False,False,False
40,L_24dv,L,1.8226903638818,0.07,0.06447463868576613,0.058949277371532244,0.011050722628467763,0.4127020435606227,symmetrized_0.5_times_W_plus_W_transpose,0.0004549454610587735,0.0004889457569193894,0.000943891217978163,False,False,False,False,False,False,False,False,False
41,L_7AL,L,1.49408150066975,0.07,0.06911583735986074,0.06823167471972147,0.0017683252802785376,0.51228904145768,symmetrized_0.5_times_W_plus_W_transpose,0.002219820387302765,0.00168190201714128,0.003901722404444045,False,False,False,False,False,False,False,False,False
42,L_SCEF,L,1.69238719484251,0.07,0.06720168522331005,0.06440337044662009,0.005596629553379917,0.5288588643440378,symmetrized_0.5_times_W_plus_W_transpose,0.0003664543172547169,0.00025846669305094075,0.0006249210103056577,False,False,False,False,False,False,False,False,False
43,L_6ma,L,1.87960102199434,0.07,0.06280138035309332,0.05560276070618665,0.014397239293813355,0.552659211483917,symmetrized_0.5_times_W_plus_W_transpose,0.0015293461365734101,0.00043170371962620934,0.0019610498561996193,False,False,False,False,False,False,False,False,False
44,L_7Am,L,1.62144136417706,0.07,0.0681260727421028,0.06625214548420559,0.003747854515794416,0.4966801086320414,symmetrized_0.5_times_W_plus_W_transpose,0.002741155734597175,0.00118914588190724,0.003930301616504415,False,False,False,False,False,False,False,False,False
45,L_7PL,L,1.49064166400977,0.07,0.06913392524536,0.06826785049072,0.0017321495092800093,0.4323163157162662,symmetrized_0.5_times_W_plus_W_transpose,0.001225107344929885,0.00012716676351452535,0.0013522741084444105,False,False,False,False,False,False,False,False,False
46,L_7PC,L,1.65363962558954,0.07,0.06774752871427918,0.06549505742855835,0.004504942571441656,0.46658248480361786,symmetrized_0.5_times_W_plus_W_transpose,0.00311812586369168,0.0003944326327612345,0.0035125584964529146,False,False,False,False,False,False,False,False,False
47,L_LIPv,L,1.96676180762102,0.07,0.05974200878887048,0.04948401757774096,0.02051598242225905,0.429390090409817,symmetrized_0.5_times_W_plus_W_transpose,0.0016071264141384852,0.0002862724077109419,0.0018933988218494272,False,False,False,False,False,False,False,False,False
48,L_VIP,L,1.7045260473955,0.07,0.06700826151312791,0.06401652302625581,0.005983476973744198,0.42501968919707306,symmetrized_0.5_times_W_plus_W_transpose,0.001748956477537115,0.0008486194693125861,0.002597575946849701,False,False,False,False,False,False,False,False,False
49,L_MIP,L,1.59426904331179,0.07,0.06839908858142871,0.0667981771628574,0.003201822837142612,0.44407930383043026,symmetrized_0.5_times_W_plus_W_transpose,0.00157047331027258,0.000638217734685881,0.002208691044958461,False,False,False,False,False,False,False,False,False
50,L_1,L,1.8276307422772,0.07,0.06434109236120544,0.058682184722410866,0.011317815277589141,0.5295021247185608,symmetrized_0.5_times_W_plus_W_transpose,0.0011556830300542284,0.00144730709603762,0.0026029901260918482,False,False,False,False,False,False,False,False,False
51,L_2,L,1.38058022264713,0.07,0.069555938334384,0.06911187666876799,0.0008881233312320186,0.5736180523828621,symmetrized_0.5_times_W_plus_W_transpose,0.002401613016292585,0.0015293415845140752,0.00393095460080666,False,False,False,False,False,False,False,False,False
52,L_3a,L,1.89366749121652,0.07,0.06234420749711548,0.05468841499423095,0.015311585005769054,0.4900236801373875,symmetrized_0.5_times_W_plus_W_transpose,0.001296068510306809,0.0003177761379446565,0.0016138446482514654,False,False,False,False,False,False,False,False,False
53,L_6d,L,2.05669565043892,0.07,0.05627045090889358,0.04254090181778715,0.027459098182212857,0.48903123901303347,symmetrized_0.5_times_W_plus_W_transpose,0.001525297001068055,0.00043392640644405366,0.0019592234075121086,False,False,False,False,False,False,False,False,False
54,L_6mp,L,1.82136590636669,0.07,0.06451005475125529,0.05902010950251056,0.010979890497489445,0.5616812217684544,symmetrized_0.5_times_W_plus_W_transpose,0.001695744149550935,0.00037712185343957,0.002072866002990505,False,False,False,False,False,False,False,False,False
