severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,target_locked_amplitude,ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,phase_eligible_fraction,phase_lag_degrees,median_phase_consistency_across_segments
0.0,11,5Hz,Episodic proxy,2,2.0,4.0,0.0007576484802334281,0.0007562567594684083,6.208085678540906e-05,0.0820860890238948,0.9989674228666745,1.0,27.78299960394377,0.9999999811670065
0.0,11,5Hz,Semantic proxy,3,4.0,6.0,0.000387787471233365,0.00038696795641354065,3.1769272836054205e-05,0.0820860895719381,0.9986673371663743,1.0,30.71679373904452,0.9999999686262055
0.0,11,5Hz,Episodic proxy,3,4.0,6.0,0.0007576547458384961,0.0007562646654253941,6.208150555569588e-05,0.08208608957193811,0.9989710904000829,1.0,27.783064524343498,0.9999999811670065
0.0,11,5Hz,Semantic proxy,4,6.0,8.0,0.0003877871950292158,0.0003869675657594165,3.1769240577490574e-05,0.08208608956218022,0.9986654264987683,1.0,30.716791511670145,0.9999999686262055
0.0,11,5Hz,Episodic proxy,4,6.0,8.0,0.0007576549357558744,0.0007562648339973951,6.208151963180811e-05,0.08208608956218023,0.9989711166405338,1.0,27.78308687324889,0.9999999811670065
0.0,11,5Hz,Semantic proxy,5,8.0,10.0,0.0003877871950293105,0.0003869675657591608,3.1769240577467975e-05,0.08208608956218048,0.9986654264932849,1.0,30.716791512456133,0.9999999686262055
0.0,11,5Hz,Episodic proxy,5,8.0,10.0,0.0007576549357558374,0.000756264833997414,6.208151963181009e-05,0.0820860895621805,0.9989711166405338,1.0,27.78308687327904,0.9999999811670065
0.0,23,2Hz,Semantic proxy,1,0.0,2.0,0.0002807602439992998,0.00027973277222982174,1.7217152235785557e-05,0.061541280913359156,0.9980234478036892,1.0,13.346530523858032,0.9999999875644129
0.0,23,2Hz,Episodic proxy,1,0.0,2.0,0.0005544224077450429,0.0005529662477618255,3.403154970955095e-05,0.061541280913359156,0.9993657058063573,1.0,12.230511725191562,0.9999999986371396
0.0,23,2Hz,Semantic proxy,2,2.0,4.0,0.00028030715903053227,0.0002796246453208814,1.721049309166481e-05,0.061541273532201596,0.9999871960155033,1.0,13.32896832965199,0.9999999875644129
